Type,functional_class,Abbr.,Generic Name,Alias,Brand Name,Class,2nd Mechanism of Action,Mechanism Details,Drug Company Description,,Source
Medication,Other/Multiple,TPM,Topiramate,,Topamax,AED,"GABA, GLY, SCB","Blockade of neuronal sodium and calcium channels, augmenting GABA activity at some GABAA receptor subtypes, inhibition at the AMPA/kainate subtype of the glutamte receptor.","Used for focal seizures with or without secondary generalization and tonic clonic seizures, where other treatment has not worked. Topiramate has a licence for monotherapy but is not widely used as a first line drug.",,https://scn8a.net/medication-guide/
Medication,Other/Multiple,Cenobamate,Cenobamate,,Xcopri,AED,"GABA,SCB",Enhances GABAAreceptor-mediated inhibition and inhibits persistent sodium currents. Also modulates voltage-gated sodium channels by promoting the inactivated state.,Approved for partial-onset seizures in adults. Has shown broad-spectrum efficacy and may reduce interictal epileptiform discharges more than other AEDs. Marketed by SK Life Science.,,https://scn8a.net/medication-guide/
Medication,Steroids,ACTH,ACTH,,-,Steroid,Steroid,-,-,,https://scn8a.net/medication-guide/
Medication,Steroids,PRD,Prednisolone,,-,Steroid,Steroid,,,,https://scn8a.net/medication-guide/
,,,,,,,,,,,
Supplement,,,Multivitamin,multi,,,,,,,
Supplement,,,Vitamin A,,,,,,,,
Supplement,,,Vitamin B,"Vitamin B12, cyanocobalamin, methylcobalamin",,,,,,,
Supplement,,,Vitamin C,,,,,,,,
Supplement,,,Vitamin D,Vitamin D3,,,,,,,
Supplement,,,Vitamin E,,,,,,,,
Supplement,,,Vitamin K,,,,,,,,
Supplement,,,Omega 3,Omega-3,,,,,,,
Supplement,,,Calcium,,,,,,,,
Supplement,,,Iodine,,,,,,,,
Supplement,,,Iron,,,,,,,,
Supplement,,,Zinc,,,,,,,,
Supplement,,,Melatonin,,,,,,,,
Supplement,,,CBD Oil,,,,,,,,
Supplement,,,Coenzyme Q10,,,,,,,,
Supplement,,,,,,,,,,,
